Classifier,Data,numInstances,numAttributes,Accuracy(%),Time(nano)
Enhanced Perceptron(Offline/Standard),arffstoprocess/breast-cancer-wisc.arff,699,10,95.49663661964877,16837880
Ensemble (Enhanced/Online/Standard),arffstoprocess/breast-cancer-wisc.arff,699,10,96.37755122954998,9012847
Multilayer Perceptron,arffstoprocess/breast-cancer-wisc.arff,699,10,95.51344327344412,457973388
SMO,arffstoprocess/breast-cancer-wisc.arff,699,10,96.62145266877316,3636756
VotedPeceptron,arffstoprocess/breast-cancer-wisc.arff,699,10,96.54438801234654,356194
Linear Perceptron,arffstoprocess/breast-cancer.arff,286,10,56.371949728593115,59064
Enhanced Perceptron(Online),arffstoprocess/breast-cancer.arff,286,10,56.42818719741799,59372
Enhanced Perceptron(Online/Standard),arffstoprocess/breast-cancer.arff,286,10,59.75108807276639,174589
Enhanced Perceptron(Offline),arffstoprocess/breast-cancer.arff,286,10,56.42574209007778,8884433
Enhanced Perceptron(Offline/Standard),arffstoprocess/breast-cancer.arff,286,10,55.18118245390972,7170367
Ensemble (Enhanced/Online/Standard),arffstoprocess/breast-cancer.arff,286,10,69.72957112817245,5359587
Multilayer Perceptron,arffstoprocess/breast-cancer.arff,286,10,66.34065235463834,187931613
SMO,arffstoprocess/breast-cancer.arff,286,10,70.10856276590535,4795950
VotedPeceptron,arffstoprocess/breast-cancer.arff,286,10,68.92757592058287,344807
Linear Perceptron,arffstoprocess/congressional-voting.arff,435,17,54.09926373218928,110623
Enhanced Perceptron(Online),arffstoprocess/congressional-voting.arff,435,17,54.37576142804184,112301
Enhanced Perceptron(Online/Standard),arffstoprocess/congressional-voting.arff,435,17,54.737009375496655,367761
Enhanced Perceptron(Offline),arffstoprocess/congressional-voting.arff,435,17,55.044229037555084,20934292
Enhanced Perceptron(Offline/Standard),arffstoprocess/congressional-voting.arff,435,17,55.46268340484137,16344306
Ensemble (Enhanced/Online/Standard),arffstoprocess/congressional-voting.arff,435,17,58.26050108586258,8137529
Multilayer Perceptron,arffstoprocess/congressional-voting.arff,435,17,58.53488002542505,630055600
SMO,arffstoprocess/congressional-voting.arff,435,17,61.044546850998195,6535062
VotedPeceptron,arffstoprocess/congressional-voting.arff,435,17,57.737168282218406,1270296
Linear Perceptron,arffstoprocess/fertility.arff,100,10,47.32,54077
Enhanced Perceptron(Online),arffstoprocess/fertility.arff,100,10,47.94,54452
Enhanced Perceptron(Online/Standard),arffstoprocess/fertility.arff,100,10,58.36,84370
Enhanced Perceptron(Offline),arffstoprocess/fertility.arff,100,10,47.14,2729597
Enhanced Perceptron(Offline/Standard),arffstoprocess/fertility.arff,100,10,51.94,2583273
Ensemble (Enhanced/Online/Standard),arffstoprocess/fertility.arff,100,10,87.46,3615316
Multilayer Perceptron,arffstoprocess/fertility.arff,100,10,80.44,68966717
SMO,arffstoprocess/fertility.arff,100,10,87.82,2613855
VotedPeceptron,arffstoprocess/fertility.arff,100,10,79.84,71602
